,respop72018,CITY,STATE
0,85108,hoover,AL
1,101113,tuscaloosa,AL
2,54264,decatur,AL
3,198218,montgomery,AL
4,68247,dothan,AL
5,50440,madison,AL
6,65738,auburn,AL
7,189572,mobile,AL
8,209880,birmingham,AL
9,197318,huntsville,AL
10,291538,anchoragemunicipality,AK
11,192364,tempe,AZ
12,82835,goodyear,AZ
13,248279,gilberttown,AZ
14,85835,avondale,AZ
15,257165,chandler,AZ
16,138161,surprise,AZ
17,97908,yuma,AZ
18,508958,mesa,AZ
19,50024,maricopa,AZ
20,255310,scottsdale,AZ
21,55090,lakehavasucity,AZ
22,74370,buckeye,AZ
23,57232,casagrande,AZ
24,73964,flagstaff,AZ
25,250702,glendale,AZ
26,1660272,phoenix,AZ
27,172259,peoria,AZ
28,545975,tucson,AZ
29,197881,littlerock,AR
30,86751,fayetteville,AR
31,67600,rogers,AR
32,51111,bentonville,AR
33,76990,jonesboro,AR
34,66127,northlittlerock,AR
35,66426,conway,AR
36,81029,springdale,AR
37,87845,fortsmith,AR
38,112269,downey,CA
39,67733,southsanfrancisco,CA
40,58173,huntingtonpark,CA
41,53014,delano,CA
42,172886,elkgrove,CA
43,159053,lancaster,CA
44,103241,elcajon,CA
45,91240,indio,CA
46,109419,inglewood,CA
47,79795,tustin,CA
48,282572,irvine,CA
49,311178,stockton,CA
50,59556,lamesa,CA
51,108393,jurupavalley,CA
52,74559,unioncity,CA
53,200641,huntingtonbeach,CA
54,80140,lakewood,CA
55,62183,lahabra,CA
56,68183,lakeelsinore,CA
57,64822,eastvale,CA
58,77000,upland,CA
59,85623,lakeforest,CA
60,63445,dublin,CA
61,56275,diamondbar,CA
62,66266,lagunaniguel,CA
63,91812,tracy,CA
64,153185,sunnyvale,CA
65,116884,fairfield,CA
66,145182,torrance,CA
67,79022,folsom,CA
68,213739,fontana,CA
69,55814,fountainvalley,CA
70,237807,fremont,CA
71,152213,escondido,CA
72,530093,fresno,CA
73,139640,fullerton,CA
74,127690,thousandoaks,CA
75,59721,gardena,CA
76,172646,gardengrove,CA
77,64475,tulare,CA
78,58756,gilroy,CA
79,201361,glendale,CA
80,94443,southgate,CA
81,52002,glendora,CA
82,62904,encinitas,CA
83,114742,temecula,CA
84,56910,hanford,CA
85,73504,turlock,CA
86,86965,hawthorne,CA
87,159620,hayward,CA
88,67412,redondobeach,CA
89,95274,hesperia,CA
90,115586,elmonte,CA
91,55406,highland,CA
92,70504,lynwood,CA
93,66995,lodi,CA
94,508529,sacramento,CA
95,54387,paramount,CA
96,66666,paloalto,CA
97,53185,palmdesert,CA
98,156667,palmdale,CA
99,209877,oxnard,CA
100,141371,pasadena,CA
101,156259,salinas,CA
102,181107,ontario,CA
103,215941,sanbernardino,CA
104,111128,sanbuenaventura(ventura),CA
105,64857,sanclemente,CA
106,1425976,sandiego,CA
107,176080,oceanside,CA
108,139484,orange,CA
109,139117,roseville,CA
110,54412,rosemead,CA
111,79133,perris,CA
112,71586,redlands,CA
113,91772,redding,CA
114,103440,rialto,CA
115,177751,ranchocucamonga,CA
116,74585,ranchocordova,CA
117,110146,richmond,CA
118,330063,riverside,CA
119,59988,porterville,CA
120,152361,pomona,CA
121,82372,pleasanton,CA
122,51671,placentia,CA
123,67221,rocklin,CA
124,72437,pittsburg,CA
125,62888,picorivera,CA
126,61917,petaluma,CA
127,1312387,sanfrancisco/oakland,CA
128,55655,novato,CA
129,105120,norwalk,CA
130,210089,santaclarita,CA
131,64725,santacruz,CA
132,80430,milpitas,CA
133,107408,santamaria,CA
134,91411,santamonica,CA
135,177586,santarosa,CA
136,83316,merced,CA
137,92595,menifee,CA
138,58115,santee,CA
139,81592,manteca,CA
140,65706,madera,CA
141,125851,simivalley,CA
142,3990456,losangeles,CA
143,53682,yucaipa,CA
144,467354,longbeach,CA
145,95202,missionviejo,CA
146,90269,livermore,CA
147,129488,santaclara,CA
148,62632,montebello,CA
149,1030119,sanjose,CA
150,89703,sanleandro,CA
151,85326,newportbeach,CA
152,96847,sanmarcos,CA
153,105025,sanmateo,CA
154,61431,nationalcity,CA
155,58704,sanrafael,CA
156,79263,napa,CA
157,114985,murrieta,CA
158,75839,sanramon,CA
159,332725,santaana,CA
160,83377,mountainview,CA
161,209050,morenovalley,CA
162,91350,santabarbara,CA
163,60401,montereypark,CA
164,215030,modesto,CA
165,69289,davis,CA
166,85275,hemet,CA
167,86200,redwoodcity,CA
168,91909,carson,CA
169,383579,bakersfield,CA
170,75813,baldwinpark,CA
171,129688,concord,CA
172,96617,compton,CA
173,133800,visalia,CA
174,271651,chulavista,CA
175,86064,whittier,CA
176,77131,bellflower,CA
177,53727,westsacramento,CA
178,121643,berkeley,CA
179,168819,corona,CA
180,101224,vista,CA
181,54741,colton,CA
182,69825,walnutcreek,CA
183,69127,camarillo,CA
184,112022,clovis,CA
185,94776,chico,CA
186,63800,brentwood,CA
187,91583,chino,CA
188,87910,citrusheights,CA
189,90938,westminster,CA
190,82421,buenapark,CA
191,103695,burbank,CA
192,115877,carlsbad,CA
193,122312,victorville,CA
194,83447,chinohills,CA
195,73508,applevalleytown,CA
196,58610,arcadia,CA
197,84649,alhambra,CA
198,60170,cupertino,CA
199,352005,anaheim,CA
200,100154,vacaville,CA
201,107008,dalycity,CA
202,111535,antioch,CA
203,53920,watsonville,CA
204,50462,cerritos,CA
205,51783,alisoviejo,CA
206,67787,yorbalinda,CA
207,106311,westcovina,CA
208,121913,vallejo,CA
209,54902,cathedralcity,CA
210,60531,woodland,CA
211,66992,yubacity,CA
212,78338,alameda,CA
213,113615,costamesa,CA
214,113479,westminster,CO
215,167830,fortcollins,CO
