VENUEID,NAME,ADDRESS,CITY,STATE,X,Y,Capacity
357,SCOTIABANK SADDLEDOME,555 SADDLEDOME RISE SOUTHEAST,CALGARY,AB,-114.0518759,51.03744196,"19,289"
356,ROGERS PLACE,10220 104 AVENUE,EDMONTON,AB,-113.497739,53.546969,"18,500"
1282,NORTHLANDS COLISEUM,7424 118 AVENUE NORTHWEST,EDMONTON,AB,-113.4560858,53.57133352,"16,839"
110,JORDAN-HARE STADIUM,251 SOUTH DONAHUE DRIVE,AUBURN,AL,-85.48918907,32.60219984,"87,451"
108,LEGION FIELD,400 GRAYMONT AVENUE WEST,BIRMINGHAM,AL,-86.84265,33.51149,"71,594"
1178,LADD-PEEBLES STADIUM,1621 VIRGINIA STREET,MOBILE,AL,-88.075635,30.673067,"33,471"
299,TALLADEGA SUPERSPEEDWAY,3366 SPEEDWAY BOULEVARD,TALLADEGA,AL,-86.06645,33.56926,"80,000"
111,VETERANS MEMORIAL STADIUM,SOUTH GEORGE WALLACE DR AND MELTON CARTER DR,TROY,AL,-85.95183722,31.79958424,"30,402"
109,BRYANT-DENNY STADIUM,920 PAUL W. BRYANT DRIVE,TUSCALOOSA,AL,-87.55046,33.20764,"101,821"
1018,COLEMAN COLISEUM,323 PAUL W BRYANT DRIVE,TUSCALOOSA,AL,-87.53973741,33.20287992,"15,383"
112,DONALD W. REYNOLDS RAZORBACK STADIUM,350 N RAZORBACK RD,FAYETTEVILLE,AR,-94.17894,36.06809,"72,000"
913,BUD WALTON ARENA,1207 LEROY POND DRIVE,FAYETTEVILLE,AR,-94.17819376,36.06156233,"19,368"
81,CENTENNIAL BANK STADIUM,2180 AGGIE ROAD,JONESBORO,AR,-90.6672,35.84893,"30,406"
113,WAR MEMORIAL STADIUM (ARKASAS),1 STADIUM DRIVE,LITTLE ROCK,AR,-92.33008998,34.74985002,"54,120"
80,STATE FARM STADIUM,1 CARDINALS DRIVE,GLENDALE,AZ,-112.2627399,33.52762883,"63,400"
354,GILA RIVER ARENA,9400 WEST MARYLAND AVENUE,GLENDALE,AZ,-112.26133,33.53195736,"17,125"
220,CHASE FIELD,401 EAST JEFFERSON STREET,PHOENIX,AZ,-112.0668013,33.44527181,"48,633"
398,ISM RACEWAY,7602 SOUTH AVONDALE BLVD,PHOENIX,AZ,-112.3116174,33.37510237,"45,000"
407,TALKING STICK RESORT ARENA,201 EAST JEFFERSON,PHOENIX,AZ,-112.0712868,33.44583058,"18,422"
83,SUN DEVIL STADIUM,500 EAST VETERANS WAY,TEMPE,AZ,-111.93253,33.42641,"53,599"
82,ARIZONA STADIUM,545 NORTH NATIONAL CHAMPION DRIVE,TUCSON,AZ,-110.9487971,32.22888537,"56,037"
218,BC PLACE,777 PACIFIC BLVD,VANCOUVER,BC,-123.1120213,49.27663723,"54,500"
355,ROGERS ARENA,800 GRIFFITHS WAY,VANCOUVER,BC,-123.1087239,49.27788409,"18,860"
1268,ESTADIO GASMART,MISSION DE SANTO TOMAS S/N,TIJUANA,BN,-116.91697,32.483122,"17,000"
